Date,Event Name (40 characters max)?,Venue (address if indie),Time (start-end),Price,30-character descriptor,Link to Event,Event submitted to Pin Up Outaouais by:
"Sun, Aug 31",Sunday martini,Swizzles Bar & Grill,10:49 PM,,Sunday is a good day to wind up before a long work week. Come party on Sunday!,http://couchassass.in/event/sunday-martini,Couch Assassin
"Mon, Sep 1",CENTimental Journey,Canadian Museum of Civilization,9:30 AM,,"The Currency Museum temporary exhibition, hosted at the Canadian Museum of History, walks you through more than 150 years of the Canadian 1 cent piece. Featuring 12 significant coins, this exhibition evokes Canadian and world history even as it profiles our humble pennies. The coins are backed up with entertaining graphics in a fun catalogue format demonstrating the enormous change in the buying power of the cent over the last 100 years. Come and see both the first and the last pennies struck at the Royal Canadian Mint. Come see what they could buy.Located behind the Grand Hall at the Canadian Museum of History in Gatineau, Québec. FOR MORE INFORMATIONT: 613-782-7224museum-musee@bankofcanada.ca",http://couchassass.in/event/centimental-journey-0,Couch Assassin
"Mon, Sep 1",5-9 Cult Movie Review,OverKill,5:00 PM,,vibe: old cult classics on the mid-size screendj and barkeep: The Dentist (early) and Angele (late)bar specials: pints of Beau's $5 & rail drinks $4,http://couchassass.in/event/5-9-cult-movie-review,Couch Assassin
"Mon, Sep 1",Acoustic Open Mic NIght,The Rainbow Bistro,9:45 PM,,"Every Monday, the Rainbow Room let's you sing, or someone else sing. They are good like that. (Image by: 'Frozen in Time' http://www.flickr.com/photos/28792936@N05/3394632786)",http://couchassass.in/event/acoustic-open-mic-night,Couch Assassin
"Mon, Sep 1",Karaoke Mondays,Atomic Rooster,10:00 PM,,"Host Toxic Johnny croons away and inspires you to sing as if you were alone in the shower 10pm Top notch sound system and an unlimted Karaoke Library so you get to sing whatever you want. Half Price Wings, 5$ Tall Boys and Monday Night Karaoke have been a huge hit at The Atomic Rooster for 5 years now. Its a great time had by all. Even if you don't sing this is certainly an entertaining night. See you on stage!!! Join the Atomic Rooster Facebook page for daily updates.",http://couchassass.in/event/karaoke-mondays,Couch Assassin
"Tue, Sep 2",CENTimental Journey,Canadian Museum of Civilization,9:30 AM,,"The Currency Museum temporary exhibition, hosted at the Canadian Museum of History, walks you through more than 150 years of the Canadian 1 cent piece. Featuring 12 significant coins, this exhibition evokes Canadian and world history even as it profiles our humble pennies. The coins are backed up with entertaining graphics in a fun catalogue format demonstrating the enormous change in the buying power of the cent over the last 100 years. Come and see both the first and the last pennies struck at the Royal Canadian Mint. Come see what they could buy.Located behind the Grand Hall at the Canadian Museum of History in Gatineau, Québec. FOR MORE INFORMATIONT: 613-782-7224museum-musee@bankofcanada.ca",http://couchassass.in/event/centimental-journey-0,Couch Assassin
"Tue, Sep 2",Partner Dance to Popular Music,Amigo's Bar,1:29 PM,,"2nd & 4th TUESDAY EVENINGS @ AMIGO's -- Westgate Mall areaAmigo's Sports Bar | 2nd & 4th Tuesday evenings | 7:00-10:30pm | 858 Merivale Ave @ Carling (near Westgate Mall)**OPEN HOUSE September 2, 2014 -- $5.00 for intro lesson + dance, 7:00-10:30pm**Features:Beginner Lessons + socialAmple free parkingGorgeous large wood floorCash barPool tablesSound system & light showTimes:7:30pm -- Register7:45pm -- Beginner lesson8:30-10:30pm -- DJ'ed social dancing (popular music: Top 40, R&B, Rock, Blues), followed by club music mixes until 2:00am!Prices:$10 for 1 lesson + social$ 5 social only10-lesson pass: $90 (includes social)Payment accepted:At door: cash (preferred) or personal chequePrior to the event: email maria(at)smoothstyle.ca for detail",http://couchassass.in/event/partner-dance-to-popular-music,Couch Assassin
"Tue, Sep 2",Back To School Dinner at The Hintonburg Public House,The Hintonburg Public House,3:00 PM,,"Tuesday September 2nd Back to school dinner. 15% off for families 3pm-9pm to celebrate the 1st day of school! Why cook, sit with your kids and hear about their day while we do the work.",http://couchassass.in/event/back-to-school-dinner-at-the-hintonburg-public-house,Couch Assassin
"Tue, Sep 2",Beats & Boards,,6:00 PM,,"Tuesday night mixes the soul-rocking beats of DJs with the super social atmosphere of meeting people new people around a board game table. DJ Hobo, DJ Sweet Cheeks and variety of guest DJs will play both Raw Sugar and Monopolatte. The 5$ cover fee allows you access to both locations, both DJs and both collections of board games.Locations:Monopolatte - 640 Somerset WestRaw Sugar - 692 Somerset West",http://couchassass.in/event/beats-boards-5,Couch Assassin
"Tue, Sep 2",Free Board Games* @ The Loft Board Game Lounge,The Loft,6:00 PM,,"Background: A 5$ 'Stay N Play' fee is added onto everyone's bill to help us maintain and update our library of over 700 board games.On a budget?Apprehensive about paying $5 for a service you're not sure about?Bored on a Tuesday Night in Ottawa?!Starting July 8th, 2014 on Tuesday Nights there will be no $5 'Stay N Play' fees added to your bill! What's the catch?Aha, you noticed the asterisk on 'FREE'! The $5 Stay N Play fee is waived with purchase of any thing off our menu! This is a great way to try some of our delicious items - may we suggest a caramel latte and a rockslide brownie? You won't be disappointed :)For more up to date info on The Loft:www.theloftlounge.cawww.facebook.com/TheLoftOttawawww.twitter.com/TheLoftOttawa",http://couchassass.in/event/free-board-games-the-loft-board-game-lounge,Couch Assassin
"Tue, Sep 2",Tuesday Trivia,Irene's Pub,7:00 PM,,Trivia happens at Irene's Pub every Tuesday evening at 7PM. Join a team or form your own and win prizes and bragging rights.,http://couchassass.in/event/tuesday-trivia,Couch Assassin
"Tue, Sep 2",Werewolf Night,Monopolatte,7:00 PM,,"The first Tuesday of every month is Werewolf Night!Monopolatte will be hosting drop-in game(s) of ""Werewolves of Miller's Hollow."" Come with friends or by yourself for an intense social game filled with deceit, murder, and false accusations! The full moon will rise at 7 pm.Werewolf is alss known as Mafia and rules can be found here.",http://couchassass.in/event/werewolf-night,Couch Assassin
"Tue, Sep 2",Partner Dance to Popular Music - Lessons & Dancing,Amigo's Bar,7:30 PM,,"If you've ever wished you knew how to dance with a partner at weddings, bars, and clubs, here's your chance. On the 2nd and 4th Tuesdays of the month, you can learn West Coast Swing, a contemporary partner dance designed for popular music like R&B, Motown, Top 40, Blues, & Rock.The venue features a large wood dance floor and ample free parking, a cash bar, pool tables, and bar-style menu so you can make an evening of it.$10.00/person covers a beginner lesson followed by 2 hours of DJ'ed dancing.Drop-ins welcome. No partner required.**Test it out on September 2 at 7:00pm - special $5.00 OPEN HOUSE**",http://couchassass.in/event/partner-dance-to-popular-music-lessons-dancing,Couch Assassin
"Tue, Sep 2",Open Mic,Pressed,8:00 PM,,"Pressed opens its stage to entertainers of all kinds for the sandwich bar’s fourth Tuesday open mic night, which will be hosted by James Leclaire and filmed by RogersTV for the new television series, At Pressed. Ottawa, ON – September 9th, 2014 – Ottawa’s Pressed is setting its stage for the restaurants fourth open mic night. All stand-up comedians, spoken word poets and singer-songwriters/small acoustic groups are invited to sign up on September 2nd for a 15 minute performance slot and put on a show for the audience. Whether you sing or play guitar, can slam some poetry, or know your way around a knock-knock joke, Pressed wants to see you perform on its stage. Even if you aren’t performing, Pressed’s showcase of Ottawa talent, local beers and bistro menu items are not to be missed. The open mic will be filmed by RogersTV for the new television series, At Pressed, where some performers will be selected to be featured! This is a great opportunity to perform to a new live audience that has the potential to extend to a television audience. This month’s open mic will be hosted by Ottawa’s very own James Leclaire. Sign-up is at 7pm on September 2nd and spots go quickly so don’t be late! The show will take place between 8pm and 11pm, is pay what you can, and open to all ages. Open Mic Event Page: https://www.facebook.com/events/331104943722504/Rogers At Pressed Promo:https://www.youtube.com/watch?v=H_SZTVjim60&list=UUlPjXDcUGIKbmgiSYK4LM7A James Leclaire is a singer-songwriter from Ottawa. His time spent living in Renfrew gave him a strong foundation in country music, which James has intertwined with his newer-found passion for folk. This musical journey has led him to his most recent album, Of What is Left, which was released in June. The album has something for everyone, including “fast anthems, slow ballads,” as well as “full band and solo songs.” Ottawa and Ottawa Valley residents may have seen James at one of his performances in Ottawa, Perth, Kemptville and Renfrew, or onstage at RBC’s Ottawa Bluesfest this past July. James Leclaire brings his musical and hosting chops to Pressed for September 2nd’s open mic.James Leclairewebsite: http://jamesleclaire.com/music/?page_id=724 Pressed is an urban gourmet sandwich bar, located at 750 Gladstone in Ottawa, ON. The restaurant offers sandwiches, coffees, teas and beer by day as well as entertainment for all ages by night. Owner Jeff Stewart has established Pressed in Ottawa and throughout Canada, with features in The Food Network’s You Gotta Eat Here, Air Canada’s enRoute magazine, and Ottawa’s Where magazine. Contact:Pressed1-613-680-9294info@pressed-ottawa.comhttp://pressed-ottawa.com/index.html###",http://couchassass.in/event/open-mic-2,Couch Assassin
"Tue, Sep 2",RSB presents // Bars & Breakbeats ft. The Hand That Feeds Tour w/ Reef the Lost Cauze (AOTP) | Robbie G | Eddie Quotez | Bastards | Happy Killmore | Ceerouse | Sumo |,Babylon,8:00 PM,,"RockSteady Bookings is proud to present a special September edition of Bars & Breakbeats featuring...The Hand That Feeds Canadian Tour with Reef The Lost Cauze (Army of the Pharaohs)w/ support from Robbie G (Guelph hip hop)www.robbieghiphop.comEddie Quotez (Ottawa hip hop)www.eddiequotez.comBastards (Ottawa hip hop)http://bvstvrds.bandcamp.com/releasesHappy Killmore & L'RXN_STEEZO (Ottawa hip hop)Ceerouse(Ottawa hip hop)www.ceerouse.comSumo (Ottawa hip hop)https://soundcloud.com/yokosumo-------------------------------------------------------------------------Sept 2, 19+Tickets are $10 in advance, grab them from the Ottawa performers (Ceerouse, Happy Killmore, Sumo, Eddie Quotez or Bastards) from NRML or Fall Down Gallery, or online at http://www.ticketscene.ca/events/11175 (note that online and from the stores are $10 + service charges)Doors at 8 pmMC'd by Sully (Sully's Slam Poetry) and your girls favourite DJ, The Mix on CKCU 93.1 FM's own DJ 2 Creamz spinning all night long",http://couchassass.in/event/rsb-presents-bars-breakbeats-ft-the-hand-that-feeds-tour-w-reef-the-lost-cauze-aotp-robbie-g,Couch Assassin
"Tue, Sep 2",Live Ottawa Laughs,Patty Boland's Pub 101 Clarence Street,8:30 PM,,"Come join us on June 3rd, 2014 for Live Ottawa Laughs, the nation's capital's newest standup comedy open mic!The show runs every Tuesday starting at 8:30pm and features new and established comics from the Ottawa Valley.There's no cover but we will be passing the hat to help pay for production costs.If you'd like to perform, visit our website http://liveottawalaughs.com for details and be sure to follow us on Twitter.See you there!",http://couchassass.in/event/live-ottawa-laughs,Couch Assassin
"Tue, Sep 2",Overkill's Karaoke,OverKill,9:00 PM,,"What's talent got to do with it? It's not about talent. This is getting a few into you to give you the courage to belt a few out, with the hopes of getting a few onto you back at your place. Karaoke night, as nature intended.",http://couchassass.in/event/overkills-karaoke,Couch Assassin
"Tue, Sep 2",WORLD FAMOUS TUESDAY NIGHT OPEN MIC,The Lafayette (The Laff),9:00 PM,,"THE WORLD FAMOUS TUESDAY NIGHT OPEN MIC at the infamous Chateau Lafayette has been an Ottawa instituition for the past ten years. Talent from near an far have graced this stage and it is always a sure bet to entertain, enthrall and enliven you on a Tuesday night. Host Birdie Whyte will make you feel right at home, whether you're an old pro or beginner. Always a house guitar for those who don't feel like lugging theirs! Prizes are given away every Tuesday to those who can answer Birdie's skill testing question, one that is the same everytime with answer that is always different. 9pm start, but the party is all night long! 42 York St. in the Byward Market | FREE",http://couchassass.in/event/world-famous-tuesday-night-open-mic-0,Couch Assassin
"Tue, Sep 2",Karaoke Tuesdays,The Lookout Bar,9:30 PM,,"Hands down the most FUN karaoke in Ottawa. Lookout is one of the only spots on a Tuesday or Wednesday where the energy is high and good times are guaranteed. Featuring a state of the art karaoke and sound system with a massive song selection presented by award winning Dog and Pony Sound. Also you can get ""Tuned Up"" on Wednesday with a delicious 2oz $6 Mojito!! So come sing a song or just grab a drink and be entertained!! (From the Lookout Website)",http://couchassass.in/event/karaoke-tuesdays,Couch Assassin
"Tue, Sep 2",Golden Club Nights,Amigo's Bar,10:00 PM,,"Every Tuesday near Westboro, DJ Golden Flame will play your favorite club music all night long: Old Skool, Hip Hop, Reggeton, Afrobeat, Hustle, West Coast Swing, Caribbean, Latin, and more.Every Tuesday, starting August 19th 2014, 10:00pm.No cover$3.50 Drinks",http://couchassass.in/event/golden-club-nights,Couch Assassin
"Tue, Sep 2",Hot Butter,Atomic Rooster,10:00 PM,,"""Hot Butter"" with your host DJ Billy Lidbetter. Hot Butter is dedicated to bringing you the best of 70's & 80's Funk and the best of the early years of Hip-Hop, mixed up with R & B, Soul, Downtempo, Acid Jazz, Electro and old classic House music. The whole night is geared to cookin' up sizzlin' slabs of deep down and dirty booty-shakin' grooves for your dancing and listening pleasure. Highly saturated with phat and terrible for anyone on a musical diet, it's HOT BUTTER baby!",http://couchassass.in/event/hot-butter,Couch Assassin
"Tue, Sep 2",Wax Works,Mercury Lounge,10:00 PM,,10pm Electro smash ups and mash ups for your booty shaking pleasure.,http://couchassass.in/event/wax-works,Couch Assassin
"Wed, Sep 3",CENTimental Journey,Canadian Museum of Civilization,9:30 AM,,"The Currency Museum temporary exhibition, hosted at the Canadian Museum of History, walks you through more than 150 years of the Canadian 1 cent piece. Featuring 12 significant coins, this exhibition evokes Canadian and world history even as it profiles our humble pennies. The coins are backed up with entertaining graphics in a fun catalogue format demonstrating the enormous change in the buying power of the cent over the last 100 years. Come and see both the first and the last pennies struck at the Royal Canadian Mint. Come see what they could buy.Located behind the Grand Hall at the Canadian Museum of History in Gatineau, Québec. FOR MORE INFORMATIONT: 613-782-7224museum-musee@bankofcanada.ca",http://couchassass.in/event/centimental-journey-0,Couch Assassin
"Wed, Sep 3",Dr. Dave's Blues and Jazz Ensemble,The Rainbow Bistro,4:20 PM,,Every Wednesday at 4:20 the doctor will be in the house!(Just when you are feeling a little dizzy) Dr. Dave's Blues and Jazz Ensemble covers your favourite classic rock tunes from the 60's and 70's. Check out some of their top notch tunes at http://www.dr-dave.ca/music.php. There is no cover for this event!,http://couchassass.in/event/dr-daves-blues-and-jazz-ensemble,Couch Assassin
"Wed, Sep 3",THE JOHN CARROLL SHOW,The Lafayette (The Laff),8:00 PM,,"For the past ten years, the wonderful John Carroll, Ottawa's best known original folk and country blues man, has packed the infamous Chateau Lafayette every Wednesday night. John Carroll's music fits comfortably into a variety of genres and time-periods that are inspired heavily by traditional blues and country folk, featuring key elements of slide guitar and finger-style guitar playing. Of John's recent album (2012), Canada's premier folk/roots/world music mag, PENGUIN EGGS, stated that ""If Hades had a telephone line to Earth, a call from down there would sound like John Carroll's voice on EVERYBODY SMOKES IN HELL."" Early show starts @ 8pm | Late show @ 10pm | Always FREE @ 42 York ST.",http://couchassass.in/event/the-john-carroll-show,Couch Assassin
"Wed, Sep 3",PBR Wednesdays w/Dj NDN,OverKill,9:00 PM,,Electro. Rave. Dubstep. Indie. House. Reggae. Dancehall. Punk. Rock. Country. Motown. dj and bar staff: DJ NDN / Kim / Sarah & Carlos bar specials: $3 cans of Pabst Blue Ribbon / $4 grilled cheese,http://couchassass.in/event/pbr-wednesdays-wdj-ndn,Couch Assassin
"Wed, Sep 3",Karaoke Wednesday,The Lookout Bar,9:30 PM,,Karaoke Wednesdays- why not? come sing a song or just grab a drink and be entertained!! Hands down the most FUN karaoke in Ottawa. Lookout is one of the only spots on a Tuesday or Wednesday where the energy is high and good times are guaranteed. Featuring a state of the art karaoke and sound system with a massive song selection presented by award winning Dog and Pony Sound. (From the Lookout Website),http://couchassass.in/event/karaoke-wednesday,Couch Assassin
"Wed, Sep 3",Open Mic Night,MUGSHOTS (Ottawa Jail Hostel),9:30 PM,,"Welcome to OPEN MIC NIGHT at the HI Ottawa Jail Hostel! Head down to Mugshots (the HI Ottawa Jail Hostel Bar) every Wednesday for our weekly Open Mic. Bring some friends and grab a drink at our newly renovated Bar (oouulala..) You'll have a chance to meet all kinds of interesting people while listening to all sorts of awesome musicians, singer-songwriters, and artists from Ottawa and beyond! This event is for performers looking to test out their stuff, try new songs, play covers, play original material and sing their heart out. Hosted by singer- songwriter Claude Munson. Note to the Musicians: 2-3 song limit - Please treat the stage as well as the audience w the same grace and respect you would your grandmother, be prepared and rehearse as much as you can! There is a house guitar and we usually have two microphones. If you have a bigger set-up, dont hesitate, bring your band - we have a few more inputs. See you there! EVERY WEDNESDAY Open Mic start at 930pm Sign up starts at 9pm The HI Ottawa Jail is situated at 75 Nicholas Street, right downtown. Once you get to the front entrance of the hostel, make your way around the side entrance through the parking lot. There you will find a side door which will lead you into the hostel's bar; Mugshots. Check out our brand new HANDEL! Weather permitting, the Open Mic will be held outside in our newly renovated Courtyard. New additions include bigger bar, cedar wood patio and 2 stages(side stage/corner stages, come see for youself!) Summer is almost here! BEER SPECIAL - $13 pitchers of BEAUS! Also - new bar on tap! Beau's BOG WATER!!",http://couchassass.in/event/open-mic-night,Couch Assassin
"Wed, Sep 3",DJ James - Breakdown Wednesdayz,Zaphod Beeblebrox,10:00 PM,,"Every Wednesday, DJ James breaksdown with hardcore punk, Metalcore tunes to keep you insane. ""The Nation's Capital has been waiting for this night, and its finally here! Come by, bring your friends, drink some delicious bevvies, headbang and rock the f*ck out to the latest and greatest and your favourite classics of punk rock, thrashcore, metalcore, pop punk, hardcore and post hardcore Rock 'n Roll!!! $3.50 Jagerbombs, $3.50 Bar-rail and NO COVER."" (from the facebook invite)",http://couchassass.in/event/dj-james-breakdown-wednesdayz,Couch Assassin
"Wed, Sep 3",Hump,Mercury Lounge,10:00 PM,,The Ginette BoBo Drag Show will help you over the Hump. Ottawa's DJ Martin's electro-house pop hiphop mash up gay night is worth the Thursday morning headache,http://couchassass.in/event/hump,Couch Assassin
"Thu, Sep 4",CENTimental Journey,Canadian Museum of Civilization,9:30 AM,,"The Currency Museum temporary exhibition, hosted at the Canadian Museum of History, walks you through more than 150 years of the Canadian 1 cent piece. Featuring 12 significant coins, this exhibition evokes Canadian and world history even as it profiles our humble pennies. The coins are backed up with entertaining graphics in a fun catalogue format demonstrating the enormous change in the buying power of the cent over the last 100 years. Come and see both the first and the last pennies struck at the Royal Canadian Mint. Come see what they could buy.Located behind the Grand Hall at the Canadian Museum of History in Gatineau, Québec. FOR MORE INFORMATIONT: 613-782-7224museum-musee@bankofcanada.ca",http://couchassass.in/event/centimental-journey-0,Couch Assassin
"Thu, Sep 4",1st Thursdays Art Walk,Cube Gallery,5:00 PM,,"Explore Ottawa's finest and friendliest art galleries on the first Thursday of every month!1st Thursdays is a neighbourhood celebration of great art.Stroll through seven unique galleries on the first Thursday of every month from 5 pm to 9 pm, enjoy world-class art, good vibes and good conversation.",http://couchassass.in/event/1st-thursdays-art-walk,Couch Assassin
"Thu, Sep 4",The New Photographers,Studio Sixty Six,6:00 PM,,"Opening Event: Thursday September 4, 6pm - 10pmCurated By: Carrie ColtonArtists: Brady Simpson, Julie Sent,Jennifer Bouchard, Olivia JohnsonSaleena Wedderburn, Troy MothIn 2009, Sheila Whyte and I founded Exposure Gallery, Ottawa’s first exhibition space dedicated exclusively to fine art photography. Though no longer involved with that gallery, I remain interested in photography as a medium – and committed to helping photographers find ways to present their work to the world.As director of Studio Sixty Six, I recently called for submissions for a show to be called The New Photographers. To my astonishment, I received over 100 portfolios from across Canada and the United States.I found myself with a luxurious problem – selecting a mere six photographers from a huge field of strong contenders. Those I have chosen offer, in my view, persuasive images of rare imagination.I am delighted to present The New Photographers for 2014:Brady Simpson, voted one of Alberta's top ten emerging photographers; Julie Sent of Seattle Washington ., who placed second in the 2010 and 2011 International Photography Awards Competition; Jennifer Bouchard, a recent BFA graduate of the University of Ottawa and winner of the Grand Jury Prize at the Histoire et Mémoire exhibit at Montreal’s Maison de la culture Marie-Uguay; Olivia Johnston, a SPAO graduate whom Ottawa Magazine called “one of Ottawa’s more intriguing photo-artists”; Saleena Wedderburn, an Ottawa-based photographer whose striking self-portraits investigate issues of race and the definition of beauty; and Troy Moth, an award-winning photographer based in Vancouver.Carrie Colton, Gallery Director",http://couchassass.in/event/the-new-photographers,Couch Assassin
